nohup: ignoring input
/home/ubuntu/anaconda3/lib/python3.6/site-packages/sklearn/cross_validation.py:41: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)
[9.059906005859375e-06] Load Train
[37.17598557472229] Load Test
[49.68568563461304] Load Features
[233.03950190544128] Load Entropy Features
[233.65505743026733] Load up the kanber features
[237.92798948287964] Finished Loading Features, start concatenate
(62080001, 7)
(20870003, 7)
[273.20792841911316] Concat Train/Test
(62080001, 45)
(20870003, 45)
Index(['ip', 'app', 'device', 'os', 'channel', 'click_time', 'is_attributed',
       'click_sec_lead_app', 'click_sec_lag_app', 'X0', 'X1', 'X2', 'X3', 'X4',
       'X5', 'X6', 'X7', 'X8', 'nextClick', 'nextClick_shift', 'ip_tcount',
       'ip_tchan_count', 'ip_app_count', 'ip_app_os_count', 'ip_app_os_var',
       'ip_app_channel_var_day', 'ip_app_channel_mean_hour',
       'click_sec_lead_split_sec', 'click_sec_lead_split_sec_ip_only',
       'cumsum10', 'cumsum50', 'click_sec_lead', 'click_sec_lag',
       'click_sec_lead', 'click_sec_lag', 'click_sec_lead_shift2',
       'same_next_app', 'same_prev_app', 'same_next_chl', 'same_prev_chl',
       'qty', 'prevday_qty', 'prevhour_qty', 'count_in_next_hr',
       'count_in_next_ten_mins'],
      dtype='object')
Index(['ip', 'app', 'device', 'os', 'channel', 'click_time', 'is_attributed',
       'click_sec_lead_app', 'click_sec_lag_app', 'X0', 'X1', 'X2', 'X3', 'X4',
       'X5', 'X6', 'X7', 'X8', 'nextClick', 'nextClick_shift', 'ip_tcount',
       'ip_tchan_count', 'ip_app_count', 'ip_app_os_count', 'ip_app_os_var',
       'ip_app_channel_var_day', 'ip_app_channel_mean_hour',
       'click_sec_lead_split_sec', 'click_sec_lead_split_sec_ip_only',
       'cumsum10', 'cumsum50', 'click_sec_lead', 'click_sec_lag',
       'click_sec_lead', 'click_sec_lag', 'click_sec_lead_shift2',
       'same_next_app', 'same_prev_app', 'same_next_chl', 'same_prev_chl',
       'qty', 'prevday_qty', 'prevhour_qty', 'count_in_next_hr',
       'count_in_next_ten_mins'],
      dtype='object')
[301.6135494709015] Time prep
[365.7350387573242] Add entropy
[412.51505970954895] Split data
Device 3032 shape : 0
[436.97796607017517] Get common train and test
Get common to train and test : app
Length remaining for app : 535
Get common to train and test : channel
Length remaining for channel : 186
Get common to train and test : os
Length remaining for os : 522
Get common to train and test : hour
Length remaining for hour : 24
Get common to train and test : device
Length remaining for device : 2222
[555.0851881504059] Data split complete
train size:  62080001
valid size:  0
test size :  20870003
**************************************************
['cumsum10', 'click_sec_lead_split_sec_ip_only', 'device', 'ip_click_min_entropy', 'ip_os_entropy', 'X2', 'channel', 'app', 'count_in_next_hr', 'click_sec_lead_app', 'X6', 'prevhour_qty', 'count_in_next_ten_mins', 'ip', 'cumsum50', 'ip_click_hr_entropy', 'nextClick', 'X1', 'X4', 'X3', 'qty', 'click_sec_lead_shift2', 'ip_device_entropy', 'ip_channel_entropy', 'ip_app_entropy', 'X8', 'X7', 'X5', 'X0', 'hour', 'os', 'click_sec_lead_split_sec', 'click_sec_lag_app', 'prevday_qty', 'nextClick_shift']
**************************************************
['app', 'device', 'os', 'channel', 'hour']
**************************************************
[555.0975720882416] Drop features complete
train size:  62080001
valid size:  20870003
test size :  20870003
[555.0976474285126] Training...
preparing validation datasets
/home/ubuntu/anaconda3/lib/python3.6/site-packages/lightgbm/basic.py:1036: UserWarning: Using categorical_feature in Dataset.
  warnings.warn('Using categorical_feature in Dataset.')
/home/ubuntu/anaconda3/lib/python3.6/site-packages/lightgbm/basic.py:681: UserWarning: categorical_feature in param dict is overrided.
  warnings.warn('categorical_feature in param dict is overrided.')
Training until validation scores don't improve for 100 rounds.
[10]	train's auc: 0.969362	valid's auc: 0.960889
[20]	train's auc: 0.97306	valid's auc: 0.965649
[30]	train's auc: 0.975	valid's auc: 0.968813
[40]	train's auc: 0.977584	valid's auc: 0.972102
[50]	train's auc: 0.97958	valid's auc: 0.974637
[60]	train's auc: 0.981141	valid's auc: 0.976632
[70]	train's auc: 0.982035	valid's auc: 0.977678
[80]	train's auc: 0.982795	valid's auc: 0.978448
[90]	train's auc: 0.983277	valid's auc: 0.978942
[100]	train's auc: 0.98366	valid's auc: 0.979282
[110]	train's auc: 0.983933	valid's auc: 0.979589
[120]	train's auc: 0.984193	valid's auc: 0.979866
[130]	train's auc: 0.984456	valid's auc: 0.980128
[140]	train's auc: 0.984666	valid's auc: 0.9803
[150]	train's auc: 0.984871	valid's auc: 0.980486
[160]	train's auc: 0.985058	valid's auc: 0.980681
[170]	train's auc: 0.985236	valid's auc: 0.980865
[180]	train's auc: 0.985403	valid's auc: 0.981023
[190]	train's auc: 0.985545	valid's auc: 0.981163
[200]	train's auc: 0.985703	valid's auc: 0.98129
[210]	train's auc: 0.985837	valid's auc: 0.981429
[220]	train's auc: 0.985977	valid's auc: 0.981562
[230]	train's auc: 0.986093	valid's auc: 0.981659
[240]	train's auc: 0.986205	valid's auc: 0.981765
[250]	train's auc: 0.986312	valid's auc: 0.981848
[260]	train's auc: 0.9864	valid's auc: 0.981899
[270]	train's auc: 0.98646	valid's auc: 0.981962
[280]	train's auc: 0.986524	valid's auc: 0.981981
[290]	train's auc: 0.986593	valid's auc: 0.982055
[300]	train's auc: 0.986682	valid's auc: 0.982141
[310]	train's auc: 0.986754	valid's auc: 0.982202
[320]	train's auc: 0.986824	valid's auc: 0.98228
[330]	train's auc: 0.986886	valid's auc: 0.982328
[340]	train's auc: 0.986943	valid's auc: 0.982356
[350]	train's auc: 0.986999	valid's auc: 0.982375
[360]	train's auc: 0.987053	valid's auc: 0.98242
[370]	train's auc: 0.987113	valid's auc: 0.982453
[380]	train's auc: 0.987156	valid's auc: 0.982494
[390]	train's auc: 0.987209	valid's auc: 0.982543
[400]	train's auc: 0.987253	valid's auc: 0.982568
[410]	train's auc: 0.98729	valid's auc: 0.982583
[420]	train's auc: 0.987351	valid's auc: 0.982617
[430]	train's auc: 0.987389	valid's auc: 0.982661
[440]	train's auc: 0.987424	valid's auc: 0.982667
[450]	train's auc: 0.98746	valid's auc: 0.982715
[460]	train's auc: 0.9875	valid's auc: 0.98274
[470]	train's auc: 0.987525	valid's auc: 0.982764
[480]	train's auc: 0.987559	valid's auc: 0.982788
[490]	train's auc: 0.987588	valid's auc: 0.982797
[500]	train's auc: 0.987622	valid's auc: 0.982805
[510]	train's auc: 0.987665	valid's auc: 0.982812
[520]	train's auc: 0.987696	valid's auc: 0.982839
[530]	train's auc: 0.987723	valid's auc: 0.982849
[540]	train's auc: 0.987755	valid's auc: 0.982861
[550]	train's auc: 0.987786	valid's auc: 0.982866
[560]	train's auc: 0.987809	valid's auc: 0.982875
[570]	train's auc: 0.987837	valid's auc: 0.982892
[580]	train's auc: 0.987867	valid's auc: 0.982897
[590]	train's auc: 0.987894	valid's auc: 0.982928
[600]	train's auc: 0.987919	valid's auc: 0.982946
[610]	train's auc: 0.987944	valid's auc: 0.982976
[620]	train's auc: 0.987965	valid's auc: 0.98297
[630]	train's auc: 0.987988	valid's auc: 0.982962
[640]	train's auc: 0.988012	valid's auc: 0.982967
[650]	train's auc: 0.988039	valid's auc: 0.982973
[660]	train's auc: 0.988063	valid's auc: 0.982993
[670]	train's auc: 0.988091	valid's auc: 0.983011
[680]	train's auc: 0.988122	valid's auc: 0.983018
[690]	train's auc: 0.988147	valid's auc: 0.983031
[700]	train's auc: 0.988173	valid's auc: 0.983032
[710]	train's auc: 0.988197	valid's auc: 0.983026
[720]	train's auc: 0.988221	valid's auc: 0.98303
[730]	train's auc: 0.988243	valid's auc: 0.983032
[740]	train's auc: 0.988277	valid's auc: 0.983041
